#Feigumfoss, 75.28.0, Vannføring, dogn
Tidspunkt;Vannføring (m³/s);Korrigert;Kontrollert
2020-01-01 11:00:00Z;0,7744921;0;2
2020-01-02 11:00:00Z;0,6851842;0;2
2020-01-03 11:00:00Z;0,9120152;0;2
2020-01-04 11:00:00Z;0,6713206;0;2
2020-01-05 11:00:00Z;0,7215014;0;2
2020-01-06 11:00:00Z;1,005366;0;2
2020-01-07 11:00:00Z;1,061036;0;2
2020-01-08 11:00:00Z;2,086145;0;2
2020-01-09 11:00:00Z;1,26128;0;2
2020-01-10 11:00:00Z;0,978762;0;2
2020-01-11 11:00:00Z;1,005772;0;2
2020-01-12 11:00:00Z;1,105031;0;2
2020-01-13 11:00:00Z;0,9845686;0;2
2020-01-14 11:00:00Z;0,7718905;0;2
2020-01-15 11:00:00Z;0,7586417;0;2
2020-01-16 11:00:00Z;0,7457421;0;2
2020-01-17 11:00:00Z;0,7271131;0;2
2020-01-18 11:00:00Z;0,6696443;0;2
2020-01-19 11:00:00Z;0,5583682;0;2
2020-01-20 11:00:00Z;0,5634195;0;2
2020-01-21 11:00:00Z;1,308042;0;2
2020-01-22 11:00:00Z;1,100574;0;2
2020-01-23 11:00:00Z;0,9408647;0;2
2020-01-24 11:00:00Z;0,8994473;0;2
2020-01-25 11:00:00Z;0,7257254;0;2
2020-01-26 11:00:00Z;0,6758291;0;2
2020-01-27 11:00:00Z;0,5819466;0;2
2020-01-28 11:00:00Z;0,4746318;0;2
2020-01-29 11:00:00Z;0,4470075;0;2
2020-01-30 11:00:00Z;0,4037751;0;2
2020-01-31 11:00:00Z;0,3605609;0;2
2020-02-01 11:00:00Z;0,4874984;0;2
2020-02-02 11:00:00Z;0,497772;0;2
2020-02-03 11:00:00Z;0,4962751;0;2
2020-02-04 11:00:00Z;0,4700401;0;2
2020-02-05 11:00:00Z;0,3754098;0;2
2020-02-06 11:00:00Z;0,3746692;0;2
2020-02-07 11:00:00Z;0,3550698;0;2
2020-02-08 11:00:00Z;0,31967;0;2
2020-02-09 11:00:00Z;0,2413962;0;2
2020-02-10 11:00:00Z;0,1086621;0;2
2020-02-11 11:00:00Z;0,1033495;0;2
2020-02-12 11:00:00Z;0,2521856;0;2
2020-02-13 11:00:00Z;0,6425995;0;2
2020-02-14 11:00:00Z;0,7633267;0;2
2020-02-15 11:00:00Z;0,5528905;0;2
2020-02-16 11:00:00Z;0,3062751;0;2
2020-02-17 11:00:00Z;0,4109696;0;2
2020-02-18 11:00:00Z;0,5577222;0;2
2020-02-19 11:00:00Z;0,7434285;0;2
2020-02-20 11:00:00Z;0,678161;0;2
2020-02-21 11:00:00Z;0,7037504;0;2
2020-02-22 11:00:00Z;0,7625698;0;2
2020-02-23 11:00:00Z;0,8051957;0;2
2020-02-24 11:00:00Z;0,7312947;0;2
2020-02-25 11:00:00Z;0,7163765;0;2
2020-02-26 11:00:00Z;0,6860678;0;2
2020-02-27 11:00:00Z;0,6797475;0;2
2020-02-28 11:00:00Z;0,7039278;0;2
2020-02-29 11:00:00Z;0,6180254;0;2
2020-03-01 11:00:00Z;0,2453019;0;2
2020-03-02 11:00:00Z;0,2492155;0;2
2020-03-03 11:00:00Z;0,2564209;0;2
2020-03-04 11:00:00Z;0,2697772;0;2
2020-03-05 11:00:00Z;0,2781816;0;2
2020-03-06 11:00:00Z;0,2446066;0;2
2020-03-07 11:00:00Z;0,2048284;0;2
2020-03-08 11:00:00Z;0,3236468;0;2
2020-03-09 11:00:00Z;0,4425654;0;2
2020-03-10 11:00:00Z;0,4176789;0;2
2020-03-11 11:00:00Z;0,4798456;0;2
2020-03-12 11:00:00Z;0,6327692;0;2
2020-03-13 11:00:00Z;0,6313365;0;2
2020-03-14 11:00:00Z;0,5390966;0;2
2020-03-15 11:00:00Z;0,3898889;0;2
2020-03-16 11:00:00Z;0,364134;0;2
2020-03-17 11:00:00Z;0,3267397;0;2
2020-03-18 11:00:00Z;0,3192903;0;2
2020-03-19 11:00:00Z;0,3256007;0;2
2020-03-20 11:00:00Z;0,3526979;0;2
2020-03-21 11:00:00Z;0,4059729;0;2
2020-03-22 11:00:00Z;0,5257078;0;2
2020-03-23 11:00:00Z;0,4175281;0;2
2020-03-24 11:00:00Z;0,3234154;0;2
2020-03-25 11:00:00Z;0,4050356;0;2
2020-03-26 11:00:00Z;0,6148909;0;2
2020-03-27 11:00:00Z;0,5227789;0;2
2020-03-28 11:00:00Z;0,3998099;0;2
2020-03-29 11:00:00Z;0,3724769;0;2
2020-03-30 11:00:00Z;0,2989549;0;2
2020-03-31 11:00:00Z;0,2626103;0;2
2020-04-01 11:00:00Z;0,2570791;0;2
2020-04-02 11:00:00Z;0,2302464;0;2
2020-04-03 11:00:00Z;0,2751436;0;2
2020-04-04 11:00:00Z;0,2949964;0;2
2020-04-05 11:00:00Z;0,3004211;0;2
2020-04-06 11:00:00Z;0,302664;0;2
2020-04-07 11:00:00Z;0,4727826;0;2
2020-04-08 11:00:00Z;0,4737148;0;2
2020-04-09 11:00:00Z;0,4451347;0;2
2020-04-10 11:00:00Z;0,3654363;0;2
2020-04-11 11:00:00Z;0,3325434;0;2
2020-04-12 11:00:00Z;0,3641163;0;2
2020-04-13 11:00:00Z;0,3471811;0;2
2020-04-14 11:00:00Z;0,3076318;0;2
2020-04-15 11:00:00Z;0,3838047;0;2
2020-04-16 11:00:00Z;0,4934703;0;2
2020-04-17 11:00:00Z;0,4105375;0;2
2020-04-18 11:00:00Z;0,3903728;0;2
2020-04-19 11:00:00Z;0,4222799;0;2
2020-04-20 11:00:00Z;0,5377854;0;2
2020-04-21 11:00:00Z;0,6692274;0;2
2020-04-22 11:00:00Z;0,7745954;0;2
2020-04-23 11:00:00Z;0,8540778;0;2
2020-04-24 11:00:00Z;0,903651;0;2
2020-04-25 11:00:00Z;0,89255;0;2
2020-04-26 11:00:00Z;0,861364;0;2
2020-04-27 11:00:00Z;0,7438549;0;2
2020-04-28 11:00:00Z;0,6623428;0;2
2020-04-29 11:00:00Z;0,5702975;0;2
2020-04-30 11:00:00Z;0,5123441;0;2
2020-05-01 11:00:00Z;0,475382;0;2
2020-05-02 11:00:00Z;0,4671155;0;2
2020-05-03 11:00:00Z;0,4521951;0;2
2020-05-04 11:00:00Z;0,4400578;0;2
2020-05-05 11:00:00Z;0,4101052;0;2
2020-05-06 11:00:00Z;0,3804228;0;2
2020-05-07 11:00:00Z;0,4097701;0;2
2020-05-08 11:00:00Z;0,4334411;0;2
2020-05-09 11:00:00Z;0,4564106;0;2
2020-05-10 11:00:00Z;0,4836589;0;2
2020-05-11 11:00:00Z;0,429899;0;2
2020-05-12 11:00:00Z;0,3974805;0;2
2020-05-13 11:00:00Z;0,3818861;0;2
2020-05-14 11:00:00Z;0,3516447;0;2
2020-05-15 11:00:00Z;0,3307357;0;2
2020-05-16 11:00:00Z;0,3079139;0;2
2020-05-17 11:00:00Z;0,3059555;0;2
2020-05-18 11:00:00Z;0,3058394;0;2
2020-05-19 11:00:00Z;0,3477481;0;2
2020-05-20 11:00:00Z;0,4804364;0;2
2020-05-21 11:00:00Z;0,6186609;0;2
2020-05-22 11:00:00Z;1,856765;0;2
2020-05-23 11:00:00Z;3,784857;0;2
2020-05-24 11:00:00Z;3,676772;0;2
2020-05-25 11:00:00Z;3,820837;0;2
2020-05-26 11:00:00Z;3,881296;0;2
2020-05-27 11:00:00Z;3,689395;0;2
2020-05-28 11:00:00Z;3,473895;0;2
2020-05-29 11:00:00Z;3,319918;0;2
2020-05-30 11:00:00Z;3,99948;0;2
2020-05-31 11:00:00Z;6,083132;0;2
2020-06-01 11:00:00Z;7,374377;0;2
2020-06-02 11:00:00Z;7,760494;0;2
2020-06-03 11:00:00Z;7,917593;0;2
2020-06-04 11:00:00Z;10,13287;0;2
2020-06-05 11:00:00Z;12,21221;0;2
2020-06-06 11:00:00Z;11,84951;0;2
2020-06-07 11:00:00Z;10,67426;0;2
2020-06-08 11:00:00Z;8,994919;0;2
2020-06-09 11:00:00Z;7,72889;0;2
2020-06-10 11:00:00Z;8,932905;0;2
2020-06-11 11:00:00Z;10,68362;0;2
2020-06-12 11:00:00Z;11,99518;0;2
2020-06-13 11:00:00Z;13,89637;0;2
2020-06-14 11:00:00Z;14,84628;0;2
2020-06-15 11:00:00Z;13,83548;0;2
2020-06-16 11:00:00Z;14,61447;0;2
2020-06-17 11:00:00Z;15,53215;0;2
2020-06-18 11:00:00Z;15,65181;0;2
2020-06-19 11:00:00Z;15,8467;0;2
2020-06-20 11:00:00Z;16,69842;0;2
2020-06-21 11:00:00Z;19,65479;0;2
2020-06-22 11:00:00Z;18,18242;0;2
2020-06-23 11:00:00Z;12,17188;0;2
2020-06-24 11:00:00Z;10,80847;0;2
2020-06-25 11:00:00Z;11,62964;0;2
2020-06-26 11:00:00Z;11,79768;0;2
2020-06-27 11:00:00Z;12,28149;0;2
2020-06-28 11:00:00Z;16,18468;0;2
2020-06-29 11:00:00Z;13,14561;0;2
2020-06-30 11:00:00Z;9,441878;0;2
2020-07-01 11:00:00Z;8,319155;0;2
2020-07-02 11:00:00Z;6,013262;0;2
2020-07-03 11:00:00Z;4,735525;0;2
2020-07-04 11:00:00Z;3,753054;0;2
2020-07-05 11:00:00Z;5,02611;0;2
2020-07-06 11:00:00Z;10,37534;0;2
2020-07-07 11:00:00Z;6,672382;0;2
2020-07-08 11:00:00Z;4,776512;0;2
2020-07-09 11:00:00Z;4,223503;0;2
2020-07-10 11:00:00Z;4,046518;0;2
2020-07-11 11:00:00Z;4,067825;0;2
2020-07-12 11:00:00Z;3,903118;0;2
2020-07-13 11:00:00Z;4,010025;0;2
2020-07-14 11:00:00Z;4,439501;0;2
2020-07-15 11:00:00Z;6,101774;0;2
2020-07-16 11:00:00Z;6,582049;0;2
2020-07-17 11:00:00Z;7,218713;0;2
2020-07-18 11:00:00Z;10,01672;0;2
2020-07-19 11:00:00Z;10,49555;0;2
2020-07-20 11:00:00Z;7,012583;0;2
2020-07-21 11:00:00Z;5,245698;0;2
2020-07-22 11:00:00Z;4,189878;0;2
2020-07-23 11:00:00Z;3,556442;0;2
2020-07-24 11:00:00Z;3,068016;0;2
2020-07-25 11:00:00Z;2,933661;0;2
2020-07-26 11:00:00Z;4,490712;0;2
2020-07-27 11:00:00Z;12,50578;0;2
2020-07-28 11:00:00Z;9,506429;0;2
2020-07-29 11:00:00Z;8,788908;0;2
2020-07-30 11:00:00Z;5,920244;0;2
2020-07-31 11:00:00Z;4,967358;0;2
2020-08-01 11:00:00Z;4,881197;0;2
2020-08-02 11:00:00Z;5,933803;0;2
2020-08-03 11:00:00Z;11,53254;0;2
2020-08-04 11:00:00Z;6,089896;0;2
2020-08-05 11:00:00Z;5,511159;0;2
2020-08-06 11:00:00Z;6,406788;0;2
2020-08-07 11:00:00Z;5,671775;0;2
2020-08-08 11:00:00Z;5,453448;0;2
2020-08-09 11:00:00Z;4,966711;0;2
2020-08-10 11:00:00Z;3,690751;0;2
2020-08-11 11:00:00Z;3,556865;0;2
2020-08-12 11:00:00Z;3,306103;0;2
2020-08-13 11:00:00Z;3,736581;0;2
2020-08-14 11:00:00Z;4,396241;0;2
2020-08-15 11:00:00Z;3,670999;0;2
2020-08-16 11:00:00Z;3,001585;0;2
2020-08-17 11:00:00Z;2,727066;0;2
2020-08-18 11:00:00Z;2,816274;0;2
2020-08-19 11:00:00Z;2,876641;0;2
2020-08-20 11:00:00Z;3,054051;0;2
2020-08-21 11:00:00Z;3,193041;0;2
2020-08-22 11:00:00Z;4,76378;0;2
2020-08-23 11:00:00Z;5,524641;0;2
2020-08-24 11:00:00Z;4,069398;0;2
2020-08-25 11:00:00Z;2,560714;0;2
2020-08-26 11:00:00Z;1,774249;0;2
2020-08-27 11:00:00Z;1,356313;0;2
2020-08-28 11:00:00Z;1,139628;0;2
2020-08-29 11:00:00Z;1,014666;0;2
2020-08-30 11:00:00Z;0,9566701;0;2
2020-08-31 11:00:00Z;0,8762569;0;2
2020-09-01 11:00:00Z;0,7894193;0;2
2020-09-02 11:00:00Z;0,7239521;0;2
2020-09-03 11:00:00Z;0,6927671;0;2
2020-09-04 11:00:00Z;1,06347;0;2
2020-09-05 11:00:00Z;2,177659;0;2
2020-09-06 11:00:00Z;3,158078;0;2
2020-09-07 11:00:00Z;2,808606;0;2
2020-09-08 11:00:00Z;4,018127;0;2
2020-09-09 11:00:00Z;4,967075;0;2
2020-09-10 11:00:00Z;3,954601;0;2
2020-09-11 11:00:00Z;3,095868;0;2
2020-09-12 11:00:00Z;6,121383;0;2
2020-09-13 11:00:00Z;6,010514;0;2
2020-09-14 11:00:00Z;8,009557;0;2
2020-09-15 11:00:00Z;10,56932;0;2
2020-09-16 11:00:00Z;10,10175;0;2
